,Twitter ,,,,Twitter,,,,Twitter,,,,Vegas,,,Final Ballot,
,5-Dec,,,,6-Dec,,,,7-Dec,,,,6-Dec,,,,
Finalist,Tweets,Pct,,Finalist,Tweets,Pct,,Finalist,Tweets,Pct,,Finalist,Odds,,Finalist,Votes,Pct
Jackson,148,29.10%,,Jackson,300,35.10%,,Peppers,644,28.70%,,Jackson,-4000,,Jackson,2144,48.22%
Peppers,136,26.80%,,Peppers,287,33.60%,,Jackson,616,27.50%,,Watson,1000,,Watson,1524,34.28%
Watson,82,16.10%,,Watson,110,12.90%,,Watson,498,22.20%,,Mayfield,3300,,Mayfield,361,8.12%
Westbrook,75,14.80%,,Westbrook,81,9.50%,,Westbrook,292,13.00%,,Peppers,5000,,Westbrook,209,4.70%
Mayfield,67,13.20%,,Mayfield,77,9.00%,,Mayfield,192,8.60%,,Westbrook,NA,,Peppers,208,4.68%
Total,508,100.00%,,Total,855,100.00%,,Total,2242,100.00%,,,,,Total,4446,100.00%
,,,,,,,,,,,,,,,,,
,,,,Salaam,846,,,Salaam,48,,,,,,,,
